term,normalized_term,category
tractus olivocochlearis,tract,anatomy
caudal magnocellular nuclei,caudal magnocellular nuclei,anatomy
"capsula interna, pars anterior",capsular internal pars anterior,anatomy
nucleus dorso-caudalis,nucleus dorso caudal,anatomy
nuclei periolivares,nuclei,anatomy
cervical segments,cervical segments,anatomy
white matter of pontile tegmentum,white matter tegmentum,anatomy
CA3 field,ca3 field,anatomy
supplementary somatosensory area,supplementary somatosensory area,anatomy
"Barrier, Blood-Brain",barrier blood brain,anatomy
commissure y,commissure,anatomy
Motor nucleus of trigeminal nerve,motor nucleus trigeminal nerve,anatomy
"ventral region, lateral zone",ventral region lateral zone,anatomy
Lateral Geniculate Bodies,lateral geniculate bodies,anatomy
"red nucleus, parvicellular part",red nucleus parvocellular part,anatomy
lateral nucleus of Deiters,lateral nucleus,anatomy
cell group b8,cell group b8,anatomy
Cuneate Lobules,cuneate lobule,anatomy
intermediate gray layer,intermediate gray layer,anatomy
Precuneus,precuneus,anatomy
mature diencephalon floor plate,mature diencephalon floor plate,anatomy
neocortex layer V,neocortex layer v,anatomy
Central nervous system,central nervous system,anatomy
area 46 of Brodmann,area 46 brodmann,anatomy
CA2,ca2,anatomy
"cerebral peduncle, basal part",cerebral peduncle basal part,anatomy
serotonergic group B3,serotonergic group b3,anatomy
Orbitofrontal Gyrus,orbitofrontal gyrus,anatomy
Bonin's areas,area,anatomy
lateral mammillary nucleus,lateral mammillary nucleus,anatomy
dorsal zone of dorsal telencephalic area,dorsal zone dorsal telencephalon area,anatomy
Edinger-Westphal nucleus,edinger westphal nucleus,anatomy
basal telencephalic commissure,basal telencephalon commissure,anatomy
corticomedial nuclear group,nuclear group,anatomy
ventral posteromedial thalamic nucleus,ventral posteromedial thalamic nucleus,anatomy
medial reticulospinal tract of the medulla,medical reticulospinal tract medulla,anatomy
dorsal tegmental decussation,dorsal tegmental decussation,anatomy
ventral part of the lateral geniculate complex,ventral part lateral geniculate complex,anatomy
Pontine sulcus,pontine sulcus,anatomy
"Nuclei, Ventral Thalamic",nuclei ventral thalamic,anatomy
reticular formation of pons of varolius,reticular formation pons,anatomy
brachial nucleus of the inferior colliculus,brachial nucleus inferior colliculus,anatomy
postrhinal area,postrhinal area,anatomy
Dorsal digital nerves of intermediate dorsal cutaneous nerve,dorsal digital nerve intermediate dorsal cutaneous nerve,anatomy
periventricular nucleus of the hypothalamus,periventricular nucleus hypothalamus,anatomy
CA2 part of stratum radiatum,ca2 part stratum radiatum,anatomy
seventh cranial nerve motor root,seventh cranial nerve motor root,anatomy
anterior olfactory nucleus,anterior olfactory nucleus,anatomy
Pia-arachnoid,pia arachnoid,anatomy
column of Goll,column,anatomy
Nucleus paramedianus oralis (Hassler),nucleus oralis,anatomy
Region CA3,region ca3,anatomy
dorsal vagal nucleus,dorsal vagal nucleus,anatomy
rexed lamina VII,laminar vii,anatomy
Thalamic optic tract,thalamic optic tract,anatomy
paracentral nucleus thalamus (Gurdjian 1927),paracentral nucleus thalamus,anatomy
medulla oblongata reticular formation,medulla oblongata reticular formation,anatomy
nucleus ventralis posterolateralis thalami,nucleus ventral thalamo,anatomy
area PCop of Bonin,area,anatomy
amygdalohippocampal area,area,anatomy
Nucleus Supraopticus,nucleus,anatomy
epirubrospinal nucleus,nucleus,anatomy
"Area, Piriform",area piriform,anatomy
field of Wernicke,field wernicke,anatomy
"CA3 Region, Hippocampal",ca3 region hippocampus,anatomy
Lateral pterygoid nerve,lateral pterygoid nerve,anatomy
"Region, Mammillary",region mammillary,anatomy
Ganglia,ganglia,anatomy
regio superior of the hippocampus,region superior hippocampus,anatomy
parieto-insular vestibular cortex,parieto insular vestibular cortex,anatomy
"inferior olive, cap of Kooy of the medial nucleus",inferior olive cap medical nucleus,anatomy
Neocortical External Granular Layer,neocortical external granular layer,anatomy
FSH Cells,fsh cell,anatomy
Geniculate Body,geniculate body,anatomy
Pyramid,pyramidal,anatomy
optic nerve layer of the superior colliculus,optic nerve layer superior colliculus,anatomy
CA1 field,ca1 field,anatomy
magnocellular division of ventral anterior nucleus of thalamus,magnocellular division ventral anterior nucleus thalamus,anatomy
"Hypothalami, Nucleus Anterior",hypothalamus nucleus anterior,anatomy
area TAa of Seltzer,area taa seltzer,anatomy
Submedial Nucleus,nucleus,anatomy
fasciculus retroflexus (Meynert),fasciculus retroflexus meynert,anatomy
dorsal vestibular nucleus,dorsal vestibular nucleus,anatomy
limb of internal capsule,limb internal capsule,anatomy
"Nucleus, Supramammillary",nucleus,anatomy
Trapezoid body,trapezoid body,anatomy
Tenia tecta,tectal,anatomy
nuclei accessorii tractus optici,nuclei tract,anatomy
neural fold,neural fold,anatomy
perisylvian language area,perisylvian language area,anatomy
Pontine rubrospinal tract,pontine rubrospinal tract,anatomy
stratum radiatum of the CA2 field,stratum radiatum ca2 field,anatomy
inferior collicular commissure,inferior colliculus commissure,anatomy
"Strip, Motor",strip motor,anatomy
sulcus of the preoccipital incisura (human),sulcus human,anatomy
preoccipital gyrus,gyrus,anatomy
white matter of metencephalon,white matter,anatomy
medial olfactory area,medical olfactory area,anatomy
Organum Vasculosum of Lamina Terminalis,laminar terminal,anatomy
vestibular nucleus of acoustic nerve,vestibular nucleus acoustic nerve,anatomy
lateral basal nucleus of amygdala,lateral basal nucleus amygdala,anatomy
Subsartorial plexus,plexus,anatomy
anterior limb of internal capsule,anterior limb internal capsule,anatomy
retrocommissural hippocampus,hippocampus,anatomy
core of the suprachiasmatic nucleus,core suprachiasmatic nucleus,anatomy
rostral cerebellar tract,rostral cerebellum tract,anatomy
Lumbosacral enlargement,lumbosacral enlargement,anatomy
"Magnus Nucleus, Raphe",magnus nucleus raphe,anatomy
optic tract nucleus,optic tract nucleus,anatomy
ventral lateral nucleus (pars postrema),ventral lateral nucleus pars postrema,anatomy
"Gland, Pituitary",gland pituitary,anatomy
Sympathetic root of ciliary ganglion,sympathetic root ciliary ganglion,anatomy
semilunar gyrus,semilunar gyrus,anatomy
facial nerve motor root,facial nerve motor root,anatomy
Sural nerve,sural nerve,anatomy
Olfactory Tract,olfactory tract,anatomy
"Cortex, Cerebral",cortex cerebral,anatomy
Trochlear nerve,trochlear nerve,anatomy
central nucleus of amygdala medial part,central nucleus amygdala medical part,anatomy
arcuate nucleus-3,arcuate nucleus,anatomy
Buccal nerve,buccal nerve,anatomy
nucleus intercalatus of medulla,nucleus medulla,anatomy
rectus gyrus,rectus gyrus,anatomy
ventral nucleus of medial geniculate body,ventral nucleus medial geniculate body,anatomy
Calcarine spur,calcarine spur,anatomy
Brodmann's area 42,brodmann area,anatomy
basolateral nucleus of amygdala,basolateral nucleus amygdala,anatomy
medial principal nucleus,medical principal nucleus,anatomy
Schwalbes Nucleus,nucleus,anatomy
area 6b of Vogts,area,anatomy
"Cortices, Primary Olfactory",cortices primary olfactory,anatomy
"Amygdaloideums, Corpus",corpus,anatomy
lateral mediodorsal nucleus,lateral mediodorsal nucleus,anatomy
"Nucleus, Preoptic",nucleus preoptic,anatomy
"gracile nucleus, general",gracile nucleus general,anatomy
medulla oblonmgata floorplate,medulla,anatomy
frontal belt,frontal belt,anatomy
Inferior palpebral branches of infraorbital nerve,inferior palpebral branch infraorbital nerve,anatomy
Nerve X,nerve x,anatomy
"Temporal Gyri, Transverse",temporal gyri transverse,anatomy
middle short gyrus,middle short gyrus,anatomy
Dorsal hippocampal commissure,dorsal hippocampal commissure,anatomy
second crus of ansiform lobule of cerebellum [hVIIa],second crus lobule cerebellum,anatomy
Nucleus intercalatus (Rose),nucleus rose,anatomy
"Gyrus, Postcentral",gyrus postcentral,anatomy
predominantly white regional part of pontine tegmentum,predominantly white region part pontine tegmentum,anatomy
posteromedial ventral nucleus of the thalamus,posteromedial ventral nucleus thalamus,anatomy
posterior colliculus commissure,posterior colliculus commissure,anatomy
nucleus praetectalis olivaris,nucleus,anatomy
medullary reticular formation,medullary reticular formation,anatomy
insular cortex,insular cortex,anatomy
"Gyrus, Subcallosal",gyrus subcallosal,anatomy
anterior corpus quadrigeminum,anterior corpus,anatomy
piriform cortex layer 3,piriform cortex layer,anatomy
prestitial nucleus,nucleus,anatomy
solitary tract nucleus,solitary tract nucleus,anatomy
MI area,mi area,anatomy
visual stria,visual stria,anatomy
9th Cerebellar lobule,cerebellum lobule,anatomy
oriens layer of CA1 field,oriens layer ca1 field,anatomy
ventral tegmental area (Tsai),ventral tegmental area tsai,anatomy
postcentral convolution,postcentral convolution,anatomy
central gray substance of the pons,central gray substance pons,anatomy
reticular process,reticular process,anatomy
dorsomedial central lateral nucleus,dorsomedial central lateral nucleus,anatomy
area Iapm of Carmichael,area carmichael,anatomy
precentral operculum,precentral operculum,anatomy
suprageniculate thalamic nucleus,thalamic nucleus,anatomy
inferior frontal sulcus,inferior frontal sulcus,anatomy
superior fronto-occipital fasciculus,superior fronto occipital fasciculus,anatomy
"Nucleus, Subfascular",nucleus,anatomy
medial forebrain bundle,medial forebrain bundle,anatomy
Semilunar gyrus,semilunar gyrus,anatomy
hippocampus major,hippocampus major,anatomy
layer VII of superior colliculus,layer vii superior colliculus,anatomy
rostral sector of primary motor cortex,rostral sector primary motor cortex,anatomy
capsule of nucleus lateralis dorsalis,capsule nucleus lateral dorsal,anatomy
"bed nuclei stria terminalis, posterior division, interfascicular nucleus",bed nuclei stria terminalis posterior division nucleus,anatomy
octopus cell area,octopus cell area,anatomy
area 10o,area,anatomy
cerebral hemisphere gray matter,cerebral hemisphere gray matter,anatomy
postcentral tactile area,postcentral tactile area,anatomy
"Nucleus, Ventral Posterior",nucleus ventral posterior,anatomy
intermediate part of hypophysis,intermediate part,anatomy
area 11l,area,anatomy
paravermal cortex,cortex,anatomy
"Multiform Layer, Neocortical",layer neocortical,anatomy
nucleus of the transverse peduncular tract,nucleus transverse peduncular tract,anatomy
median eminence of posterior lobe of pituitary gland,median eminence posterior lobe pituitary gland,anatomy
ventromedial hypothalamic nucleus,ventromedial hypothalamic nucleus,anatomy
ventral posterolateral nucleus,ventral posterolateral nucleus,anatomy
anterodorsal nucleus of medial geniculate body,anterodorsal nucleus medial geniculate body,anatomy
magnocellular layer of lateral geniculate nucleus,magnocellular layer lateral geniculate nucleus,anatomy
field H,field,anatomy
cuneate fasciculus,cuneate fasciculus,anatomy
dorsal spinocerebellar tract of the medulla,dorsal spinocerebellar tract medulla,anatomy
F cell group of the vestibular complex,cell group vestibular complex,anatomy
submedial nucleus,nucleus,anatomy
cingulate gyrus (Crosby),cingulate gyrus,anatomy
central nucleus of perlia,central nucleus,anatomy
blue nucleus,blue nucleus,anatomy
"parabrachial nucleus, lateral division",parabrachial nucleus lateral division,anatomy
band of Gennari,band gennari,anatomy
tectobulbar tract,tract,anatomy
"spinal trigeminal nucleus, caudal part",spinal trigeminal nucleus caudal part,anatomy
Bulbus cornus occipitalis,,anatomy
crossed pyramidal tract,crossed pyramidal tract,anatomy
inferior temporal sulcus-2,inferior temporal sulcus,anatomy
granular layer of dentate gyrus,granular layer dentate gyrus,anatomy
lateral nuclear group,lateral nuclear group,anatomy
neuraxis flocculus,neuraxis flocculus,anatomy
"corticospinal tract, crossed",corticospinal tract crossed,anatomy
Chemoreceptor Trigger Zones,chemoreceptor trigger zone,anatomy
ventral medial nucleus,ventral medial nucleus,anatomy
basal portion of pons,basal portion pons,anatomy
Angular gyrus,angular gyrus,anatomy
stratum lacunosum moleculare,stratum lacunosum moleculare,anatomy
parietal type cortex,parietal type cortex,anatomy
adolfactory area,area,anatomy
pars magnocellularis nuclei ventralis anterior thalami,pars magnocellular nuclei ventral anterior thalamo,anatomy
sacral spinal cord anterior commissure,sacral spinal cord anterior commissure,anatomy
"anterior hypothalamic nucleus, anterior part",anterior hypothalamus nucleus anterior part,anatomy
accessory (vomeronasal) bulb,accessory vomeronasal bulb,anatomy
cerebellum internal granule cell layer,cerebellum internal granule cell layer,anatomy
cortical maps of the Vogts,cortical maps,anatomy
lateral zone of dorsal telencephalon,lateral zone dorsal telencephalon,anatomy
apical subnucleus of the interpeduncular nucleus,apical subnucleus interpeduncular nucleus,anatomy
internal part of globus pallidus,internal part globus pallidus,anatomy
first sacral spinal cord segment,first sacral spinal cord segment,anatomy
nucleus of accessory optic system,nucleus accessory optic system,anatomy
parahippocampal white matter,parahippocampal white matter,anatomy
external medullary lamina,external medulla laminar,anatomy
spinal tract of the trigeminal nerve,spinal tract trigeminal nerve,anatomy
optic layer of superior colliculus,optic layer superior colliculus,anatomy
Clarke's nucleus,clark nucleus,anatomy
hippocampus (Crosby),hippocampus,anatomy
Anterior Hypothalamus,anterior hypothalamus,anatomy
Reticular Formations,reticular formation,anatomy
stratum pyramidale,stratum pyramidale,anatomy
neopallial cortex,cortex,anatomy
telencephalic nuclei,telencephalon nuclei,anatomy
"superior colliculus, deep gray layer",superior colliculus deep gray layer,anatomy
Cuneate tubercle,cuneate tubercle,anatomy
rostral intralaminar nuclei,rostral intralaminar nuclei,anatomy
"Gyrus, Post Central",gyrus post central,anatomy
paralaminar part of the medial dorsal nucleus,part medial dorsal nucleus,anatomy
lateral region of the agranular insula,lateral region agranular insula,anatomy
posterior terminal nucleus of accessory optic tract,posterior terminal nucleus accessory optic tract,anatomy
"Nucleus, Infundibular",nucleus infundibular,anatomy
"basomedial amygdaloid nucleus, posterior part",basomedial amygdaloid nucleus posterior part,anatomy
frontal forceps,frontal forceps,anatomy
mouth sensory area,mouth sensory area,anatomy
"Pulvinari, Nucleus",nucleus,anatomy
Nucleus Parabrachialis Lateralis,nucleus lateral,anatomy
"Auditory Area, Temporal",auditory area temporal,anatomy
forebrain ventricular layer,forebrain ventricular layer,anatomy
primary visual cortex,primary visual cortex,anatomy
"Cortex, Primary Auditory",cortex primary auditory,anatomy
"occipitotemporal (fusiform) gyrus, posterior division",occipito temporal fusiform gyrus posterior division,anatomy
intermediate subnucleus of the interpeduncular nucleus,intermediate subnucleus interpeduncular nucleus,anatomy
"tenia tecta, dorsal part",tectal dorsal part,anatomy
cervical spinal cord dorsal column,cervical spinal cord dorsal column,anatomy
